ID,正式名称,正式名称（フリガナ）,所在地,所在地座標（緯度）,所在地座標（経度）,案内用ホームページアドレス
111010000130,医療法人社団ＣＨＣＰヘルスケアシステム桑園中央病院,イリョウホウジンシャダン　シーエイチシーピーヘルスケアシステム　ソウエンチュウオウビョウイン,北海道札幌市中央区北８条西１６丁目２８番３５号,0.0,0.0,http://sch-hospital.com/
111010000150,医療法人社団清和会南札幌病院,イリョウホウジンシャダンセイワカイミナミサッポロビョウイン,北海道札幌市中央区南９条西７丁目１番２３号,43.048281,141.348315,http://www.minamisapporo.or.jp
111010000170,医療法人北仁会旭山病院,イリョウホウジンホクジンカイアサヒヤマビョウイン,北海道札幌市中央区双子山　４丁目３番３３号,43.041605,141.311962,http://www.hokujin.or.jp/asahiyama/
111010000180,社会医療法人北海道循環器病院,シャカイイリョウホウジン　ホッカイドウジュンカンキビョウイン,北海道札幌市中央区南２７条西１３丁目１番３０号,0.0,0.0,http://www.hokujun.or.jp
111010000210,札幌南一条病院,サッポロミナミイチジョウビョウイン,北海道札幌市中央区南１条西１３丁目３１７番地１,43.05667,141.337482,http://www.h-keiaikai.or.jp/minamiichijo/
111010000220,医療法人社団正心会岡本病院,イリョウホウジンシャダンセイシンカイオカモトビョウイン,北海道札幌市中央区北７条西２６丁目３番１号,43.065686,141.315961,http://www.okamoto-hp.com/
111010000230,札幌西円山病院,サッポロニシマルヤマビョウイン,北海道札幌市中央区円山西町４丁目７番２５号,43.039966,141.303236,http://www.keijinkai.com/nishimaruyama/
111010000240,医療法人社団明日佳　札幌明日佳病院,イリョウホウジンシャダンアスカ　サッポロアスカビョウイン,北海道札幌市中央区宮の森　１条１７丁目１番２５号,43.043133,141.292825,http://www.asuka-gp.or.jp/sapporo/
111010000260,医療法人同仁会札幌南病院,イリョウホウジンドウジンカイサッポロミナミビョウイン,北海道札幌市南区石山東７丁目１番２８号,42.954504,141.343797,http://www.zion-g.jp/sapporominami/
111010000280,医療法人　札幌円山整形外科　札幌円山整形外科病院,イリョウホウジン　サッポロマルヤマセイケイゲカ　サッポロマルヤマセイケイゲカビョウイン,北海道札幌市中央区北７条西２７丁目１番３号,0.0,0.0,http://www.maruyama-seikeigeka.com
111010000300,医療法人社団心和会心和病院,イリョウホウジンシャダンシンワカイシンワビョウイン,北海道札幌市中央区南１３条西２０丁目１番６号,43.041606,141.329183,http://www.shinwahp.jp/
111010000330,医療法人　萬田記念病院,イリョウホウジン　マンダキネンビョウイン,北海道札幌市中央区南２条西１丁目１番地,43.058799,141.35718,http://www.manda.or.jp
111010000340,特定医療法人　平成会　平成会病院,トクテイイリョウホウジン　ヘイセイカイ　　ヘイセイカイビョウイン,北海道札幌市中央区北１条西１８丁目１番１,0.0,0.0,http://www.heisei-hospital.jp
111010000350,医療法人社団健心会　桑園病院,イリョウホウジンシャダン　ケンシンカイ　ソウエン　ビョウイン,北海道札幌市中央区北１２条西１５丁目１番３０号,43.072852,141.330098,https://www.soen-hosp.com
111010000370,医療法人資生会　創成東病院,イリョウホウジン　シセイカイ　ソウセイヒガシビョウイン,北海道札幌市中央区南３条東３丁目１３番地,43.058049,141.361652,http://sousei-med.jp
111010000380,医療法人徳洲会札幌外科記念病院,イリョウホウジントクシュウカイ　サッポロゲカキネンビョウイン,北海道札幌市中央区南２３条西１５丁目１番３０号,43.027403,141.337957,https://gekakinen.tokushukai.or.jp/
111010000390,医療法人社団研仁会北海道脳神経外科記念病院,イリョウホウジンシャダンケンジンカイホッカイドウノウシンケイゲカキネンビョウイン,北海道札幌市西区八軒９条東５丁目１－２０,0.0,0.0,https://www.hnsmhp.or.jp
111010000400,医療法人社団銀杏会　さっぽろ銀杏会記念病院,イリョウホウジンシャダンギンナンカイ　サッポロギンナンカイキネンビョウイン,北海道札幌市中央区南１１条西８丁目２番２５号,0.0,0.0,https://ginnankai.jp/
111010000410,札幌南三条病院,サッポロミナミサンジョウビョウイン,北海道札幌市中央区南３条西６丁目４番２号,43.056021,141.349403,http://www.minamisanjo-hp.jp
111010000420,北海道大学病院,ホッカイドウダイガクビョウイン,北海道札幌市北区北１４条西５丁目,43.077246,141.345617,http://www.huhp.hokudai.ac.jp
111010000430,医療法人社団心優会中江病院,イリョウホウジンシャダンシンユウカイナカエビョウイン,北海道札幌市北区北２２条西７丁目２番１号,43.087573,141.340015,http://www.shinyukai-r.or.jp/nakae/
111010000450,社会医療法人　松田整形外科記念病院,シャカイイリョウホウジン　マツダセイケイゲカキネンビョウイン,北海道札幌市北区北１８条西４丁目１番３５号,43.082046,141.346096,http://www.matsuda-oh.com/
111010000460,社会医療法人　延山会　北成病院,シャカイイリョウホウジン　エンザンカイ　ホクセイビョウイン,北海道札幌市北区新川西３条２丁目１０番１号,43.124402,141.287405,https://www.hokusei-hp.or.jp
111010000480,医療法人社団翔嶺館　札幌優翔館病院,イリョウホウジンシャダン　ショウレイカン　サッポロユウショウカンビョウイン,北海道札幌市北区東茨戸２条２丁目８番２５号,43.16478,141.358013,http://www.shoureikan.jp/yuushoukan/index.html
111010000490,医療法人麻生整形外科病院,イリョウホウジンアサブセイケイゲカビョウイン,北海道札幌市北区新琴似８条２丁目２番５号,0.0,0.0,https://www.asabuseikei.or.jp
111010000530,医療法人研成会札幌鈴木病院,イリョウホウジンケンセイカイサッポロスズキビョウイン,北海道札幌市北区新琴似３条１丁目１番２７号,43.104723,141.330217,http://www.sapporo-suzuki-hospital.jp
111010000540,医療法人社団札幌百合の会病院,イリョウホウジンシャダンサッポロユリノカイビョウイン,北海道札幌市北区百合が原１１丁目１８６,43.131958,141.367565,http://www.yurinokai.jp/
111010000550,医療法人社団　五稜会病院,イリョウホウジンシャダン　ゴリョウカイビョウイン,北海道札幌市北区篠路９条６丁目２番３号,0.0,0.0,goryokai.com
111010000570,医療法人社団　北札幌病院,イリョウホウジンシャダンキタサッポロビョウイン,北海道札幌市北区新琴似９条１丁目１番１号,0.0,0.0,http://kitasatsu.or.jp/
111010000580,長生会病院,チョウセイカイビョウイン,北海道札幌市北区北２５条西１６丁目２番１号,43.091323,141.324264,http://choseikai.com/
111010000610,医療法人社団荒木病院,イリョウホウジンシャダンアラキビョウイン,北海道札幌市北区篠路３条２丁目１番９２号,0.0,0.0,http://www.araki-hospital.jp/
111010000620,医療法人社団栄杜会　小原病院,イリョウホウジンシャダン　エイトカイ　オバラビョウイン,北海道札幌市北区屯田９条１２丁目５－１,0.0,0.0,
111010000640,社会医療法人　北腎会　坂泌尿器科病院,シャカイイリョウホウジン　ホクジンカイ　サカヒニョウキカビョウイン,北海道札幌市西区八軒２条西４丁目１番１号,43.099572,141.326736,http://saka-uro.or.jp/
111010000670,勤医協中央病院,キンイキョウチュウオウビョウイン,北海道札幌市東区東苗穂５条１丁目９番１号,43.091463,141.403063,www.kin-ikyo-chuo.jp
111010000680,天使病院,テンシビョウイン,北海道札幌市東区北１２条東３丁目１－１,43.076603,141.357373,http://www.tenshi.or.jp
111010000700,医療法人　徳洲会　札幌東徳洲会病院,イリョウホウジン　トクシュウカイ　サッポロヒガシトクシュウカイビョウイン,北海道札幌市東区北３３条東１４丁目３番１号,43.103572,141.365955,http://www.higashi-tokushukai.or.jp
111010000710,医療法人社団英仁会札苗病院,イリョウホウジンシャダンエイジンカイサツナエビョウイン,北海道札幌市東区東苗穂７条２丁目８番２０号,43.094907,141.41234,http://satsunae-hp.jp/
111010000720,社会医療法人禎心会　札幌禎心会病院,シャカイイリョウホウジンテイシンカイ　サッポロテイシンカイビョウイン,北海道札幌市東区北３３条東１丁目３－１,43.100933,141.346679,http://www.teishinkai.jp/thp/
111010000730,医療法人　札幌麻生脳神経外科病院,イリョウホウジン　サッポロアザブノウシンケイゲカビョウイン,北海道札幌市東区北２２条東１丁目１番４０号,0.0,0.0,http://www.azabunougeka.or.jp/
111010000740,医療法人　育愛会　札幌東豊病院,イリョウホウジン　イクアイカイ　サッポロトウホウビョウイン,北海道札幌市東区北１７条東１５丁目３番１号,43.084854,141.372391,http://www.toho-hosp.or.jp
111010000760,医療法人社団大蔵会札幌佐藤病院,イリョウホウジンシャダンオオクラカイサッポロサトウビョウイン,北海道札幌市東区伏古２条４丁目１０番１５号,43.082894,141.391998,http://www.s-sato-hp.jp/
111010000770,医療法人社団札幌道都病院,イリョウホウジンシャダンサッポロドウトビョウイン,北海道札幌市東区北１７条東１４丁目３番２号,43.084769,141.371677,http://www.doto.org
111010000790,札幌東和病院,サッポロトウワビョウイン,北海道札幌市東区北３０条東１８丁目８－１,0.0,0.0,http://www.sapporo-towa-hp.sakura.ne.jp
111010000820,社会医療法人社団愛心館　愛心メモリアル病院,シャカイイリョウホウジンシャダンアイシンカン　アイシンメモリアルビョウイン,北海道札幌市東区北二十七条東１丁目１番１５号,43.094517,141.347512,http://aishinmemorial-hp.or.jp/
111010000830,北光記念病院,ホッコウキネンビョウイン,北海道札幌市東区北２７条東８丁目１番６号,43.096656,141.360817,http://www.hokko.or.jp/hokkou/index.html
111010000850,社会医療法人　耳鼻咽喉科麻生病院,シャカイイリョウホウジン　ジビインコウカアザブビョウイン,北海道札幌市東区北４０条東１丁目１番７号,43.107627,141.344623,http://www.jibiazabu.or.jp
111010000860,医療法人　エム・ティー・エヌ　北海道泌尿器科記念病院,イリョウホウジン　エム・ティー・エヌ　ホッカイドウヒニョウキカキネンビョウイン,北海道札幌市東区北４１条東１丁目１番２５号,43.109584,141.344743,https://www.hokkaido-hinyoukika.or.jp
111010000870,医療法人札幌ハートセンター　札幌ハートクリニック,イリョウホウジンサッポロハートセンター　サッポロハートクリニック,北海道札幌市東区北１５条東１８丁目５番１５号,43.083324,141.378982,
111010000880,医療法人彰和会　北海道消化器科病院,イリョウホウジンショウワカイ　ホッカイドウショウカキカビョウイン,北海道札幌市東区本町１条１丁目２番１０号,43.08056,141.379036,http://www.hgh.or.jp/
111010000900,独立行政法人国立病院機構北海道がんセンター,ドクリツギョウセイホウジンコクリツビョウインキコウホッカイドウガンセンター,北海道札幌市白石区菊水４条２丁目３－５４,0.0,0.0,https://hokkaido-cc.hosp.go.jp/
111010000910,公益社団法人　北海道勤労者医療協会　勤医協札幌病院,コウエキシャダンホウジン　ホッカイドウキンロウシャイリョウキョウカイキンイキョウサッポロビョウイン,北海道札幌市白石区菊水４条１丁目９－２２,0.0,0.0,http://www.satsubyo.com/
111010000950,医療法人徳洲会札幌徳洲会病院,イリョウホウジントクシュウカイサッポロトクシュウカイビョウイン,北海道札幌市厚別区大谷地東１丁目１番１号,43.028943,141.448229,http://www2.satutoku.jp/
111010000960,社会医療法人　恵佑会札幌病院,シャカイイリョウホウジン　ケイユウカイサッポロビョウイン,北海道札幌市白石区本通９丁目南１番１号,43.0421,141.417602,www.keiyukaisapporo.or.jp
111010000970,社会医療法人　医翔会　札幌白石記念病院,シャカイイリョウホウジン　イショウカイ　サッポロシロイシキネンビョウイン,北海道札幌市白石区本通８丁目南１番１０号,43.044357,141.416453,http//www.ssn-hp.jp
111010000980,社会医療法人三樹会　三樹会泌尿器科病院,シャカイイリョウホウジンサンジュカイ　サンジュカイヒニョウキカビョウイン,北海道札幌市白石区東札幌２条３丁目６番１０号,43.052744,141.38365,http://www.sanjukai.or.jp
111010000990,医療法人東札幌病院,イリョウホウジンヒガシサッポロビョウイン,北海道札幌市白石区東札幌３条３丁目７番３５号,0.0,0.0,http://www.hsh.or.jp
111010001010,医療法人杏医会札幌呼吸器科病院,イリョウホウジンキョウイカイサッポロコキュウキカビョウイン,北海道札幌市白石区栄通３丁目３番３５号,43.040302,141.400844,http://www.myclinic.ne.jp/sapkokyukika/
111010001020,医療法人信佑会吉田記念病院,イリョウホウジンシンユウカイヨシダキネンビョウイン,北海道札幌市白石区本通２丁目南５番１０号,43.050606,141.406398,https://yosida-mh.jp/
111010001030,医療法人社団幸仁会札幌ロイヤル病院,イリョウホウジンシャダンコウジンカイサッポロロイヤルビョウイン,北海道札幌市白石区米里５条　１丁目３番３０号,0.0,0.0,
111010001040,医療法人社団豊武会幌東病院,イリョウホウジンシャダン　ホウブカイ　コウトウビョウイン,北海道札幌市白石区本郷通７丁目南４番３０号,0.0,0.0,http://kotohp.or.jp
111010001060,医療法人社団明日佳　白石明日佳病院,イリョウホウジンシャダンアスカ　シロイシアスカビョウイン,北海道札幌市白石区東札幌５条５丁目２番５号,0.0,0.0,https://asuka-gp.or.jp/shiroishi/
111010001070,社会医療法人朋仁会整形外科北新病院,シャカイイリョウホウジンホウジンカイセイケイゲカホクシンビョウイン,北海道札幌市東区北８条東４丁目１番５号,43.072524,141.360111,www.hokushin-hp.or.jp
111010001080,医療法人社団明珠会　札幌白石産科婦人科病院,イ）シャダン　メイシュカイ　サッポロシロイシサンカフジンカビョウイン,北海道札幌市白石区東札幌５条６丁目６番２８号,43.04819,141.398538,https://www.shiroishi.or.jp
111010001100,医療法人菊郷会札幌センチュリー病院,イリョウホウジンキクゴウカイサッポロセンチュリービョウイン,北海道札幌市白石区菊水元町５条３丁目５番１０号,43.06866,141.407481,http://www.s-century.jp/
111010001120,医療福祉センター札幌あゆみの園,イリョウフクシセンターサッポロアユミノソノ,北海道札幌市白石区川北２２５４－１,43.071438,141.438728,http://www.hokushokai.com
111010001130,独立行政法人地域医療機能推進機構札幌北辰病院,ドクリツギョウセイホウジンチイキイリョウキノウスイシンキコウサッポロホクシンビョウイン,北海道札幌市厚別区厚別中央２条６丁目２番１号,43.041969,141.473754,http://hokushin.jcho.go.jp
111010001150,医療法人重仁会大谷地病院,イリョウホウジン　ジュウジンカイ　オオヤチビョウイン,北海道札幌市厚別区大谷地東５丁目７番１０号,0.0,0.0,http://www.ohyachi-hp.or.jp
111010001160,医療法人サンプラザ　新札幌循環器病院,イリョウホウジンサンプラザ　シンサッポロジュンカンキビョウイン,北海道札幌市厚別区厚別中央２条４丁目９番２５号,43.037692,141.469033,https://www.sshoc.jp
111010001170,医療法人新札幌整形外科病院,イリョウホウジンシンサッポロセイケイゲカビョウイン,北海道札幌市厚別区厚別中央１条６丁目２－８,43.03872,141.476782,https://www.ssoh.or.jp/
111010001190,社会医療法人貞仁会　新札幌ひばりが丘病院,シャカイイリョウホウジンテイジンカイ　シンサッポロヒバリガオカビョウイン,北海道札幌市厚別区厚別中央３条２丁目１２番１号,43.034609,141.462867,https://www.shin-hibarigaoka.jp/
111010001200,医療法人社団豊志会肛門科なかやま病院,イリョウホウジンシャダンホウシカイコウモンカナカヤマビョウイン,北海道札幌市厚別区厚別中央４条４丁目２番８号,0.0,0.0,http://www.nakayamahp.or.jp/
111010001210,医療法人　脳神経研究センター　新さっぽろ脳神経外科病院,イリョウホウジン　ノウシンケイケンキュウセンター　シンサッポロノウシンケイゲカビョウイン,北海道札幌市厚別区厚別中央１条６丁目２番１０号,43.039581,141.47581,http://www.snh.or.jp/
111010001220,医療法人中山会新札幌パウロ病院,イリョウホウジンナカヤマカイシンサッポロパウロビョウイン,北海道札幌市厚別区厚別東２条６丁目４番１号,43.047052,141.490013,www.byo-in.com
111010001230,勇気会　医療法人　北央病院,ユウキカイイリョウホウジンホクオウビョウイン,北海道札幌市厚別区青葉町１１丁目２番１０号,0.0,0.0,
111010001240,社会医療法人交雄会メディカル　交雄会新さっぽろ病院,シャカイイリョウホウジンコウユウカイメディカル　コウユウカイシンサッポロビョウイン,北海道札幌市厚別区厚別中央１条６丁目２－５,0.0,0.0,https://www.kss-hp.or.jp
111010001250,医療法人社団明日佳　桜台明日佳病院,イリョウホウジンシャダンアスカ　サクラダイアスカビョウイン,北海道札幌市厚別区厚別西５条５丁目１番１号,43.054725,141.464521,http://www.asuka-gp.or.jp/sakuradai
111010001260,医療法人　徹仁会　　厚別耳鼻咽喉科病院,イリョウホウジン　テツジンカイ　　アツベツジビインコウカビョウイン,北海道札幌市厚別区厚別西５条１丁目１６番２２号,0.0,0.0,http://www.atubetu-jibika.com/
111010001270,自衛隊札幌病院,ジエイタイサッポロビョウイン,北海道札幌市南区真駒内１７番地,0.0,0.0,http://www.mod.go.jp/gsdf/nae/hosp/index.html
111010001290,独立行政法人地域医療機能推進機構　北海道病院,ドクリツギョウセイホウジンチイキイリョウキノウスイシンキコウホッカイドウビョウイン,北海道札幌市豊平区中の島１条８丁目３番１８号,43.025469,141.355793,http://hokkaido.jcho.go.jp
111010001300,ＫＫＲ札幌医療センター,ケーケーアールサッポロイリョウセンター,北海道札幌市豊平区平岸１条６丁目３番４０号,43.036385,141.367208,https://smc.kkr.or.jp/
111010001310,社会医療法人柏葉会　札幌柏葉会病院,シャカイイリョウホウジンハクヨウカイ　サッポロハクヨウカイビョウイン,北海道札幌市豊平区平岸１条１２丁目１番２５号,43.028578,141.364987,https://hosp.hakuyo-kai.or.jp/
111010001350,社会医療法人仁陽会　西岡第一病院,シャカイイリョウホウジンジンヨウカイ　ニシオカダイイチビョウイン,北海道札幌市豊平区西岡３条６丁目８番１号,43.013027,141.386929,https://nishiokadaiichi.or.jp
111010001370,医療法人社団高台病院,イリョウホウジンシャダンタカダイビョウイン,北海道札幌市豊平区平岸７条１２丁目１－３９,0.0,0.0,http://www.takadai-hp.or.jp/
111010001390,医療法人社団悠仁会羊ヶ丘病院,イリョウホウジンシャダンユウジンカイヒツジガオカビョウイン,北海道札幌市厚別区青葉町３丁目１－１０,43.035265,141.475068,www.hitsujigaoka.com
111010001400,医療法人小坂病院,イリョウホウジン　コサカビョウイン,北海道札幌市豊平区福住２条２丁目９番１号,43.017165,141.402178,http://kosakabyoin.byoinnavi.jp
111010001410,医療法人恵仁会佐々木内科病院,イリョウホウジンケイジンカイササキナイカビョウイン,北海道札幌市豊平区美園７条８丁目６番２０号,43.035009,141.38906,www4.ocn.ne.jp/~sasaki/
111010001420,医療法人北志会札幌ライラック病院,イリョウホウジンホクシカイサッポロライラックビョウイン,北海道札幌市豊平区豊平６条８丁目２番１８号,0.0,0.0,https://lilac.or.jp/
111010001430,社会医療法人　康和会　札幌しらかば台病院,シャカイイリョウホウジン　コウワカイ　サッポロシラカバダイビョウイン,北海道札幌市豊平区月寒東２条１８丁目７番２６号,0.0,0.0,http://www.kouwakai.or.jp
111010001440,医療法人社団北樹会病院,イリョウホウジンシャダン　ホクジュカイビョウイン,北海道札幌市豊平区月寒西５条８丁目４－３２,43.025839,141.386673,http://www.hokujyukai.jp
111010001450,医療法人讃生会　北野病院,イリョウホウジンサンセイカイ　キタノビョウイン,北海道札幌市清田区北野１条１丁目６番３０号,43.009354,141.426071,https://www.sanseikai-med.jp/kitanobyouin/
111010001470,医療法人社団図南会あしりべつ病院,イリョウホウジンシャダントナンカイアシリベツビョウイン,北海道札幌市清田区清田１条４丁目４番３５号,43.000196,141.442175,http://www.tonankai.jp/
111010001500,医療法人社団エス・エス・ジェイ　札幌整形循環器病院,イリョウホウジンシャダンエス・エス・ジェイ　サッポロセイケイジュンカンキビョウイン,北海道札幌市清田区北野１条２丁目１１番３０号,0.0,0.0,http://ssj-h.com/
111010001520,社会医療法人札幌清田整形外科病院,シャカイイリョウホウジンサッポロキヨタセイケイゲカビョウイン,北海道札幌市清田区清田１条４丁目１番５０号,0.0,0.0,http://www.kiyotaseikei.or.jp/
111010001540,医療法人社団五風会さっぽろ香雪病院,イリョウホウジンシャダンゴフウカイサッポロコウセツビョウイン,北海道札幌市清田区真栄３１９番地,42.976559,141.444649,http://www.sapporo-kohsetsu.or.jp
111010001550,医療法人札幌平岡病院,イリョウホウジン　サッポロヒラオカビョウイン,北海道札幌市清田区平岡２条１丁目１５番２０号,0.0,0.0,http://www.hiraoka-hospital.com/
111010001580,医療法人　愛全病院,イリョウホウジン　アイゼンビョウイン,北海道札幌市南区川沿１３条２丁目１番３８号,42.979599,141.333794,http:/www.aizenkai.or.jp/
111010001590,医療法人広誠会北ノ沢病院,イリョウホウジン　コウセイカイ　キタノサワビョウイン,北海道札幌市南区北ノ沢１７３２番地,43.007746,141.313793,http://kitanosawahp.jp/
111010001600,定山渓病院,ジョウザンケイビョウイン,北海道札幌市南区定山渓温泉西３丁目７１番地,0.0,0.0,http://www.keijinkai.com/jyouzankei/
111010001620,医療法人五輪橋整形外科病院,イリョウホウジンゴリンバシセイケイゲカビョウイン,北海道札幌市南区川沿２条１丁目２番５６号,43.000166,141.337323,http://www.gorinbashi-seikei.com
111010001640,医療法人三和会札幌南整形外科病院,イリョウホウジンサンワカイサッポロミナミセイケイゲカビョウイン,北海道札幌市南区南３３条西１１丁目４番１号,43.01397,141.345711,http://minamiseikei.or.jp
111010001650,医療法人社団林下病院,イリョウホウジンシャダンハヤシシタビョウイン,北海道札幌市南区澄川４条５丁目９番３８号,0.0,0.0,http://www.hayashishita.jp/
111010001690,医療法人為久会　札幌共立五輪橋病院,イリョウホウジンイキュウカイ　サッポロキョウリツゴリンバシビョウイン,北海道札幌市南区川沿２条１丁目２番５４号,42.998749,141.338018,http://www.gorinbashi.or.jp
111010001700,医療法人　礼風会　　五輪橋マタニティクリニック,イリョウホウジン　レイフウカイ　ゴリンバシマタニティクリニック,北海道札幌市南区南３９条西１１丁目１－３０,43.005415,141.342489,https://gorin.or.jp/
111010001710,社会医療法人医仁会　中村記念南病院,シャカイイリョウホウジンイジンカイナカムラキネンミナミビョウイン,北海道札幌市南区川沿２条２丁目３番１号,0.0,0.0,http://www.nmh.or.jp/minami/minaindex.html
111010001720,仁楡会札幌病院,ジンユカイサッポロビョウイン,北海道札幌市豊平区中の島２条７丁目１－１,43.02708,141.358431,https://www.jinyukai.or.jp/
111010001770,医療法人耕仁会　札幌太田病院,イリョウホウジンコウジンカイ　サッポロオオタビョウイン,北海道札幌市西区山の手５条５丁目１番１号,43.071046,141.292629,http://www.sapporo-ohta.or.jp
111010001790,医療法人社団明生会イムス札幌消化器中央総合病院,イリョウホウジンシャダンメイセイカイイムスサッポロショウカキチュウオウソウゴウビョウイン,北海道札幌市西区八軒２条西１丁目１番１号,0.0,0.0,http://www.ims.gr.jp/ims-sapporo/
111010001800,社会医療法人孝仁会　札幌第一病院,シャカイイリョウホウジンコウジンカイ　サッポロダイイチビョウイン,北海道札幌市西区二十四軒４条３丁目４番２６号,43.076324,141.307322,http://www.sapporo-daiichi.com/
111010001830,北海道内科リウマチ科病院,ホッカイドウナイカリウマチカビョウイン,北海道札幌市西区琴似１条３丁目１番４５号,43.077435,141.306767,https://ra-hp.jp/
111010001850,医療法人　西さっぽろ病院,イリョウホウジン　ニシサッポロビョウイン,北海道札幌市西区山の手３条２丁目５番１号,43.072019,141.298156,http//www.nishi-sapporo.or.jp
111010001860,医療法人社団静和会　静和記念病院,イリョウホウジンシャダンセイワカイ　セイワキネンビョウイン,北海道札幌市西区八軒５条東５丁目１番１号,43.081546,141.322209,http://seiwa-mh.jp/
111010001880,医療法人社団深仁会ふかざわ病院,イリョウホウジンシャダンシンジンカイフカザワビョウイン,北海道札幌市西区二十四軒２条４丁目６番８号,0.0,0.0,http://www.fukazawa-hp.jp/
111010001890,社会医療法人孝仁会札幌孝仁会記念病院,シャカイイリョウホウジンコウジンカイサッポロコウジンカイキネンビョウイン,北海道札幌市西区宮の沢２条１丁目１６番１号,0.0,0.0,https://www.sap-kojk.jp/
111010001940,医療法人知仁会　八木整形外科病院,イリョウホウジンチジンカイ　ヤギセイケイゲカビョウイン,北海道札幌市西区西野３条５丁目１番３５号,0.0,0.0,http://www.yagiseikei.com/
111010001950,医療法人社団明日佳　宮の沢明日佳病院,イリョウホウジンシャダンアスカ　ミヤノサワアスカビョウイン,北海道札幌市西区西町南２０丁目１番３０号,43.086295,141.275685,http://www.smn-hp.or.jp/
111010001960,医療法人社団康仁会　　中田泌尿器科病院,イリョウホウジンシャダンコウジンカイ　　ナカタヒニョウキカビョウイン,北海道札幌市西区西町北５丁目１番５号,0.0,0.0,http://www.nakata-uro.com
111010001980,医療法人社団　明生会　イムス札幌リハビリテーション病院,イリョウホウジンシャダン　メイセイカイ　イムスサッポロナイカリハビリテーションビョウイン,北海道札幌市手稲区手稲金山１２４番地,43.123011,141.197607,https://ims.gr.jp/sapporo-naikareha/
111010001990,医療法人　勉仁会　中垣病院,イリョウホウジン　ベンジンカイ　ナカガキビョウイン,北海道札幌市手稲区金山１条２丁目１番６号,0.0,0.0,https://www.nakagaki-hp.jp
111010002000,医療法人北武会北都病院,イリョウホウジン　ホクブカイ　ホクトビョウイン,北海道札幌市手稲区手稲山口５５０番地,0.0,0.0,http://www.hokubukai.or.jp/
111010002020,手稲渓仁会病院,テイネケイジンカイビョウイン,北海道札幌市手稲区前田１条１２丁目１番４０号,43.122568,141.242631,http://www.keijinkai.com/teine/
111010002060,医療法人タナカメディカル札幌田中病院,イリョウホウジンタナカメデイカルサッポロタナカビョウイン,北海道札幌市手稲区西宮の沢４条４丁目２番１号,0.0,0.0,https://www.tanakamedical.net/tanaka/
111010002070,社会医療法人延山会　西成病院,シャカイイリョウホウジンエンザンカイニッセイビョウイン,北海道札幌市手稲区曙２条２丁目２番２７号,43.12717,141.237727,http://www.nissei-hp.com/
111010002080,医療法人札幌宮の沢病院,イリョウホウジンサッポロミヤノサワビョウイン,北海道札幌市手稲区西宮の沢１条４丁目１４番３５号,43.10757,141.263435,http://www.tanakamedical.net/miyanosawa/
111010002090,医療法人秀友会　札幌秀友会病院,イリョウホウジンシュウユウカイ　サッポロシュウユウカイビョウイン,北海道札幌市手稲区新発寒５条６丁目２番１号,43.116847,141.268296,http://www.shuyukai.or.jp
111010002100,医療法人札幌緑誠病院,イリョウホウジン　サッポロリョクセイビョウイン,北海道札幌市手稲区西宮の沢４条４丁目１８番１１号,43.10457,141.257464,http://www.tanakamedical.net/ryokusei
