都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL
12025,01B1400030,北海道,函館市,社会医療法人高橋病院　介護医療院,シャカイイリョウホウジンタカハシビョウイン　カイゴイリョウイン,介護医療院,北海道函館市時任町1番2号,,41.781388171126300,140.750299248114000,0138-78-1230,01B1400030,,,,https://www.takahashi-group.jp/kaigoiryoin/
12041,01B2900012,北海道,旭川市,医療法人修彰会　沼﨑介護医療院,イリョウホウジンシュウショウカイ　ヌマザキカイゴイリョウイン,介護医療院,北海道旭川市8条通8丁目43番地,,43.773388700000000,142.363904700000000,0166-23-2090,01B2900012,,,0,
12041,01B2900038,北海道,旭川市,佐藤内科医院介護医療院,サトウナイカイインカイゴイリョウイン,介護医療院,北海道旭川市豊岡４条３丁目２番２号佐藤内科医院,佐藤内科医院,43.760313400000000,142.395953600000000,0166-32-3366,01B2900038,,,17,http://www.ahmic21.ne.jp/satoh-naikasyonika/
12041,01B2900046,北海道,旭川市,医療法人清陵会藤井病院介護医療院,イリョウホウジンセイリョウカイフジイビョウインカイゴイリョウイン,介護医療院,北海道旭川市旭町１条３丁目８４１番地の１３８,,43.782679200000000,142.357184400000000,0166-51-1411,01B2900046,,,,http://www.fujii-hospital.net
12041,01B2900053,北海道,旭川市,医療法人社団心優会沼﨑介護医療院,イリョウホウジンシャダンシンユウカイヌマザキカイゴイリョウイン,介護医療院,北海道旭川市8条通8丁目43番地,,43.773321400000000,142.364181200000000,0166-23-2090,01B2900053,,,,http://shinyukai-r.or.jp
12076,01B4600016,北海道,帯広市,公益財団法人北海道医療団　帯広西病院介護医療院,コウエキザイダンホウジンホッカイドウイリョウダン　オビヒロニシビョウインカイゴイリョウイン,介護医療院,北海道帯広市西23条南1丁目129番地,,42.922212400000000,143.125936200000000,0155-37-3330,01B4600016,,,0,https://www.zhi.or.jp/n/
12092,01B5900019,北海道,夕張市,介護医療院夕張,カイゴイリョウインユウバリ,介護医療院,北海道夕張市若菜8番地12,,43.026698100000000,141.969882800000000,0123-57-7782,01B5900019,,,,https://www.houseikai.or.jp/yubari/rouken.html
12114,01B5300012,北海道,網走市,医療法人社団　網走中央病院　介護医療院,イリョウホウジンシャダン　アバシリチュウオウビョウイン　カイゴイリョウイン,介護医療院,北海道網走市南６条東１丁目７番地,,44.019618900000000,144.268527500000000,0152-44-8611,01B5300012,,,0,https://www.abashiri-chuo.or.jp/
12131,01B3600033,北海道,苫小牧市,苫都病院介護医療院,セントビョウインカイゴイリョウイン,介護医療院,北海道苫小牧市若草町５丁目１０番２１号苫都病院,苫都病院,42.642345800000000,141.607155700000000,0144-34-2135,01B3600033,,,0,http://www.sento.biz/
12131,01B3600017,北海道,苫小牧市,医療法人社団玄洋会　道央佐藤病院介護医療院,イリョウホウジンシャダンゲンヨウカイ　ドウオウサトウビョウインカイゴイリョウイン,介護医療院,北海道苫小牧市字樽前234番地,,42.596335300000000,141.426966400000000,0144-67-0236,01B3600017,,,0,http://www/douousatou.or.jp/
12131,01B3600025,北海道,苫小牧市,苫小牧澄川病院介護医療院,トマコマイスミカワビョウインカイゴイリョウイン,介護医療院,苫小牧市澄川町７丁目９番１８号,,42.623846500000000,141.514628500000000,0144-67-3111,01B3600025,,,0,http://www.sumikawa-hp.com/
12157,01B6100023,北海道,美唄市,医療法人社団慶北会花田病院介護医療院はなまる,イリョウホウジンシャダンケイホクカイハナダビョウインカイゴイリョウインハナマル,介護医療院,北海道美唄市大通東１条北２丁目２番５号,,43.334239700000000,141.861437100000000,0126-68-8700,01B6100023,,,60,http://hanada-hp.com
12157,01B6100015,北海道,美唄市,医療法人社団宏仁会しろした病院介護医療院,イリョウホウジンシャダンコウジンカイシロシタビョウインカイゴイリョウイン,介護医療院,北海道美唄市大通西1条北1丁目1番,,43.333279700000000,141.860219200000000,0126-63-2780,01B6100015,,,0,
12173,01B1000012,北海道,江別市,友愛記念病院　介護医療院,ユウアイキネンビョウイン　カイゴイリョウイン,介護医療院,北海道江別市新栄台46番地の1,,43.108577000000000,141.512195400000000,011-383-4124,01B1000012,,,,https://yuaikinen.or.jp/nursing-careclinic/
12289,01B7400018,北海道,深川市,深川第一病院　介護医療院,フカガワダイイチビョウイン　カイゴイリョウイン,介護医療院,北海道深川市あけぼの町１番１号,,43.741471100000000,142.035334900000000,0164-23-3511,01B7400018,,,,http://www.henry-dunant.or.jp
12297,01B3000010,北海道,富良野市,介護医療院ふらの,カイゴイリョウインフラノ,介護医療院,北海道富良野市桂木町２番７７号,,43.350416200000000,142.379040300000000,0167-23ｰ6600,01B3000010,,,,https://www.furano.ne.jp/f-w-hosp/kaigoiryouin.html
12335,01B3700015,北海道,伊達市,介護医療院　セイント・ヴィレッジ,カイゴイリョウイン　セイント・ビレッジ,介護医療院,北海道伊達市舟岡町214番地28,,42.467009142938200,140.882723053742000,0142-82-9351,01B3700015,,,120,http://www.jikeikai.or.jp
12343,01B1300016,北海道,北広島市,医療法人社団西の里恵仁会病院　介護医療院,イリョウホウジンシャダンニシノサトケイジンカイビョウイン　カイゴイリョウイン,介護医療院,北海道北広島市西の里506番地,,43.014894865245600,141.497391947254000,011-375-3225,01B1300016,,,0,http://www.nsk-hp.jp/
12343,01B1300024,北海道,北広島市,介護医療院　えみの里順天,カイゴイリョウイン　エミノサトジュンテン,介護医療院,北海道北広島市大曲６９５番地,,43.005712300000000,141.492275700000000,011-377-8000,01B1300024,,,,http://www.junten.jp/
12351,01B7600013,北海道,石狩市,医療法人社団恵愛会茨戸病院　介護医療院,イリョウホウジンシャダンケイアイカイバラトビョウイン　カイゴイリョウイン,介護医療院,北海道石狩市花川東128番地14,,43.168112800000000,141.343049300000000,0133-74-3011,01B7600013,,,56,http://barato-hospital.or.jp/
13374,01B1500011,北海道,七飯町,介護医療院　望ヶ丘医院,カイゴイリョウイン　ノゾミガオカイイン,介護医療院,北海道亀田郡七飯町大川三丁目5番28号,,41.855951700000000,140.721357600000000,0138-65-9101,01B1500011,,,0,http://www.nozomi.me/
13943,01B2200017,北海道,蘭越町,昆布温泉介護医療院,コンブオンセンビョウインカイゴイリョウイン,介護医療院,北海道磯谷郡蘭越町字黄金118番地,,42.801066046692700,140.601922903765000,0136-58-2231,01B2200017,,,0,http://www.seiwa-kai.or.jp/konbu-hosp/index.html
14061,01B2500036,北海道,古平町,古平町介護医療院海のまちクリニック,フルビラチョウカイゴイリョウインウミノマチクリニック,介護医療院,北海道古平郡古平町大字浜町644番地1,,43.257871500000000,140.635240900000000,0135-48-6035,01B2500036,,,,https://town.furubira.lg.jp
14087,01B2500010,北海道,余市町,医療法人社団倫仁会　介護医療院こじま,イリョウホウジンシャダンリンジンカイ　カイゴイリョウインコジマ,介護医療院,北海道余市郡余市町黒川町7-13小嶋内科,小嶋内科,43.186816900000000,140.792005900000000,135222245,01B2500010,,,24,http://rinjinkai.or.jp/
14087,01B2500028,北海道,余市町,介護医療院なかじま,カイゴイリョウインナカジマ,介護医療院,北海道余市郡余市町黒川町3丁目109番地,,43.188348300000000,140.791606900000000,0135-22-3866,01B2500028,,,0,http://nakajima.hajimeyoo.com
14575,01B3100018,北海道,上川町,上川町介護医療院つつじ苑,カミカワチョウカイゴイリョウインツツジエン,介護医療院,北海道上川郡上川町花園町175番地,,43.851657300000000,142.767536200000000,01658-2-1231,01B3100018,,,0,
14605,01B3000028,北海道,上富良野町,介護医療院上富良野,カイゴイリョウインカミフラノ,介護医療院,北海道空知郡上富良野町大町３丁目２番１５号,,43.454364100000000,142.466116900000000,0167-45-3171,01B3000028,,,,
15130,01B6700012,北海道,中頓別町,中頓別町国民健康保険病院介護医療院,ナカトンベツチョウコクミンケンコウホケンビョウインカイゴイリョウイン,介護医療院,北海道枝幸郡中頓別町字中頓別175番地中頓別町国民健康保険病院,中頓別町国民健康保険病院,44.970444400000000,142.283527800000000,01634-6-1131,01B6700012,,,16,http://sites.google.com/view/nakatombetsu-town-hospital/ホーム
15474,01B5300020,北海道,小清水町,小清水赤十字病院,コシミズセキジュウジビョウイン,介護医療院,北海道斜里郡小清水町南町2丁目3番3号,,43.855511700000000,144.459732500000000,0152-62-2121,01B5300020,,,12,http://www.phoenix-c.or.jp/~krchp/
15555,01B5400010,北海道,遠軽町,医療法人縁紡会遠軽共立医院介護医療院,イリョウホウジンエンボウカイエンガルキョウリツイインカイゴイリョウイン,介護医療院,北海道紋別郡遠軽町大通北１丁目３番地,,44.059556500000000,143.525463900000000,0158-42-5215,01B5400010,,,56,
15849,01B3700023,北海道,洞爺湖町,介護医療院　なのはな,カイゴイリョウイン　ナノハナ,介護医療院,北海道虻田郡洞爺湖町洞爺町５４番地４１,,42.656196329071900,140.831438881754000,0142-87-2311,01B3700023,,,,http://www.toya-onsen-hospital.or.jp/
16365,01B4700014,北海道,清水町,介護医療院　みかげ,カイゴイリョウインミカゲ,介護医療院,北海道上川郡清水町御影西二条三丁目13,,42.945999800000000,142.936257600000000,0156-63-3711,01B4700014,,,,https://www.seikoukai-mikage.or.jp
16926,01B4200015,北海道,中標津町,医療法人樹恵会　介護医療院みらいプラス,イリョウホウジンジュケイカイ　カイゴイリョウインミライプラス,介護医療院,北海道標津郡中標津町りんどう町5番地６,,43.543999500000000,144.927558800000000,0153-72-9112,01B4200015,,,0,http://www.ishida-hp.jp/
22012,02B0100010,青森県,青森市,介護医療院　石木医院,カイゴイリョウイン　イシキイイン,介護医療院,青森県青森市大字浅虫字蛍谷65番地37,,40.889580100000000,140.862848800000000,017-752-3015,02B0100010,,,0,
22012,02B0100036,青森県,青森市,介護医療院カトレア,カイゴイリョウインカトレア,介護医療院,高田川瀬110－1,,40.761587100000000,140.720812700000000,017-739-6100,02B0100036,,,0,https://heigenkai.jp/
22012,02B0100028,青森県,青森市,介護医療院　白取医院,カイゴイリョウイン　シラトリイイン,介護医療院,青森県青森市大字高田字川瀬２９４番地９,,40.768222001791100,140.722828933799000,017-739-2342,02B0100028,,,0,
22021,02B0200018,青森県,弘前市,梅村介護医療院,ウメムラカイゴイリョウイン,介護医療院,青森県弘前市石渡一丁目1番地6,,40.626456700000000,140.454463300000000,0172-32-3593,02B0200018,,,0,
22021,02B0200034,青森県,弘前市,医療法人聖誠会オリーブ介護医療院,イリョウホウジンセイセイカイオリーブカイゴイリョウイン,介護医療院,青森県弘前市大字新町１５１番地,,40.607154400000000,140.455273600000000,0172-34-3252,02B0200034,,,,http://www.myclinic.ne.jp/ishizawa
22021,02B0200026,青森県,弘前市,介護医療院くどう,カイゴイリョウインクドウ,介護医療院,青森県弘前市大字石川字石川97番地,,40.552452200000000,140.543095700000000,0172-92-3316,02B0200026,,,0,
22039,02B0300016,青森県,八戸市,湊病院介護医療院,ミナトビョウインカイゴイリョウイン,介護医療院,青森県八戸市大字新井田字松山下野場7番地15,,40.503924100000000,141.533987300000000,0178-25-0011,02B0300016,,,48,https://www.seishou.jp/careclinic/
22039,02B0300024,青森県,八戸市,みちのく記念病院介護医療院,ミチノクキネンビョウインカイゴイリョウイン,介護医療院,青森県八戸市小中野４丁目１番６０号,,40.519572700000000,141.508138100000000,0178-22-3999,02B0300024,,,,
22055,02B0500029,青森県,五所川原市,医療法人慈仁会　尾野病院,イリョウホウジンジジンカイ　オノビョウイン,介護医療院,青森県五所川原市金木町朝日山453,,40.903485652124800,140.453265049074000,0173-53-2071,02B0500029,,,,http://www.ono-hospital.com
22098,02B0900013,青森県,つがる市,医療法人誠仁会　介護医療院　尾野病院,イリョウホウジンセイジンカイ　カイゴイリョウイン　オノビョウイン,介護医療院,青森県つがる市木造若竹5,,40.807789100000000,140.391910400000000,0173-42-2133,02B0900013,,,0,http://www.aomori-seijinkai.or.jp
22101,02B1000011,青森県,平川市,みらい会介護医療院,ミライカイカイゴイリョウイン,介護医療院,青森県平川市柏木町藤山37-5,,40.585784300000000,140.563392200000000,0172-44-3100,02B1000011,,,0,https://miraikai.cloud-line.com/kaigoiryouinn/
24121,02B2500019,青森県,おいらせ町,医療法人正恵会　石田温泉病院,イリョウホウジンセイケイカイ　イシダオンセンビョウイン,介護医療院,青森県上北郡おいらせ町上前田２１－１,,40.602548900000000,141.431292100000000,0178-52-3611,02B2500019,,,40,https://seikeikai-ao.jp
32018,03B0100035,岩手県,盛岡市,介護医療院とおやま,カイゴイリョウイントオヤマ,介護医療院,岩手県盛岡市下ノ橋町６－１４,,39.697155400000000,141.149081200000000,019-651-2111,03B0100035,,,0,http://www.toyama-byouin.jp
32018,03B0100027,岩手県,盛岡市,渋民中央病院介護医療院,シブタミチュウオウビョウインカイゴイリョウイン,介護医療院,岩手県盛岡市渋民字大前田53番地2,,39.837654100000000,141.164913400000000,019-683-2336,03B0100027,,,0,http://shibutamihp.byoinnavi.jp
32018,03B0100050,岩手県,盛岡市,松園病院介護医療院,マツゾノビョウインカイゴイリョウイン,介護医療院,岩手県盛岡市北松園四丁目36番75号,,39.762244200000000,141.177417900000000,019-662-6111,03B0100050,,,,https://matsuzono.jp/kaigoiryouin_information/
32018,03B0100068,岩手県,盛岡市,介護医療院フォーユーみたけ,カイゴイリョウインフォーユーミタケ,介護医療院,岩手県盛岡市みたけ3丁目11番36号,,39.738143000000000,141.113724600000000,019-648-5088,03B0100068,,,,
32018,03B0100019,岩手県,盛岡市,介護医療院おいかわ内科クリニック,カイゴイリョウインオイカワナイカクリニック,介護医療院,岩手県盛岡市上田1丁目18番46号,,39.711036000000000,141.140857000000000,019-622-7400,03B0100019,,,,http://www.o-med.net
32018,03B0100043,岩手県,盛岡市,鎌田内科クリニック介護医療院,カマタナイカクリニックカイゴイリョウイン,介護医療院,岩手県盛岡市本宮2-20-1,,39.688806700000000,141.137672500000000,019-636-1725,03B0100043,,,18,https://www.kamata-cl.com
32051,03B0500010,岩手県,花巻市,イーハトーブ介護医療院,イーハトーブカイゴイリョウイン,介護医療院,岩手県花巻市湯口字志戸平14番地1,,39.418984600000000,141.012503400000000,0198-38-5656,03B0500010,,,,
32077,03B0700016,岩手県,久慈市,久慈恵愛病院介護医療院,クジケイアイビョウインカイゴイリョウイン,介護医療院,岩手県久慈市湊町第17地割100番地,,40.200896227940600,141.790333117197000,0194-52-2311,03B0700016,,,,https://kujikeiai.jimdofree.com/
42111,04B1100017,宮城県,岩沼市,南浜中央病院介護医療院,ミナミハマチュウオウビョウインカイゴイリョウイン,介護医療院,宮城県岩沼市寺島字北新田111番地,,38.083890400000000,140.919014300000000,0223-36-8875,04B1100017,,,42,https://minamihama.or.jp/
42153,04B1500018,宮城県,大崎市,古川民主病院介護医療院,フルカワミンシュビョウインカイゴイリョウイン,介護医療院,宮城県大崎市古川駅東2-11-14,,38.573234600000000,140.974292100000000,0229-23-5521,04B1500018,,,,http://www.m-kousei.com
44016,04B2600015,宮城県,松島町,介護医療院松島みどりの家,カイゴイリョウインマツシマミドリノイエ,介護医療院,宮城県宮城郡松島町高城字浜1番地26,,38.378261200000000,141.070167700000000,022-354-2126,04B2600015,,,0,http://www.matushimahosupital.com/kaigoirouin/
52027,05B0200015,秋田県,能代市,介護医療院　京病院,カイゴイリョウイン　キョウビョウイン,介護医療院,能代市大町1番8号,,40.212697600000000,140.026441100000000,0185-52-1315,05B0200015,,,93,http://kyohospital.com/kaiseikai/
52043,05B0400011,秋田県,大館市,介護医療院西大館病院,カイゴイリョウインニシオオダテビョウイン,介護医療院,秋田県大館市川口字上野6番地125,,40.279040900000000,140.475329700000000,0186-49-3211,05B0400011,,,170,https://kochikai.jp
52078,05B0700014,秋田県,湯沢市,医療法人小野崎医院　介護医療院,イリョウホウジンオノザキイイン　カイゴイリョウイン,介護医療院,秋田県湯沢市表町3-1-29,,39.166827200000000,140.490777600000000,0183-73-2540,05B0700014,,,14,http://www.onozaki-h.or.jp/
52078,05B0700022,秋田県,湯沢市,介護医療院　菅医院,カイゴイリョウイン　スガイイン,介護医療院,秋田県湯沢市小野字東堺77番地1,,39.064526660526700,140.454872582140000,0183-52-2000,05B0700022,,,0,http://kamuro5111.com/publics/index/6/
52094,05B0900014,秋田県,鹿角市,大湯リハビリ温泉病院介護医療院,オオユリハビリオンセンビョウインカイゴイリョウイン,介護医療院,秋田県鹿角市十和田大湯字湯ノ岱１６番２,,40.298878900000000,140.839693200000000,0186-37-3511,05B0900014,,,0,https://oyu-reha.com/
52094,05B0900028,秋田県,鹿角市,鹿角中央病院・介護医療院,カヅノチュウオウビョウイン・カイゴイリョウイン,介護医療院,秋田県鹿角市花輪字六月田97番地,,40.200308200000000,140.789913400000000,0186-23-4131,05B0900028,,,0,keiai4134.cloodfree.jp
52108,05B0500018,秋田県,由利本荘市,由利本荘医師会病院介護医療院,ユリホンジョウイシカイビョウインカイゴイリョウイン,介護医療院,秋田県由利本荘市水林456番地4,,39.377504600000000,140.025572500000000,0184-22-0054,05B0500018,,,0,http://yurihon-hospital.jp/
62014,06B0100016,山形県,山形市,長岡医院　介護医療院,ナガオカイイン　カイゴイリョウイン,介護医療院,山形県山形市七日町四丁目５－２０,,38.253032100000000,140.345125100000000,023-622-1191,06B0100016,,,0,
62022,06B0400028,山形県,米沢市,三友堂介護医療院,サンユウドウカイゴイリョウイン,介護医療院,山形県米沢市成島町３丁目２番９０号,,37.922967100000000,140.090297100000000,0238-21-8100,06B0400028,,,,
62022,06B0400010,山形県,米沢市,介護医療院松田外科医院,カイゴイリョウインマツダゲカイイン,介護医療院,山形県米沢市城西4-4-25,,37.912035700000000,140.094159000000000,0238-21-1155,06B0400010,,,,
62090,06B1500016,山形県,長井市,吉川記念病院介護医療院,ヨシカワキネンビョウインカイゴイリョウイン,介護医療院,山形県長井市成田1888-1,,38.131581400000000,140.036354900000000,0238-87-8000,06B1500016,,,,https://yoshikawa-hp.com/
62103,06B1600014,山形県,天童市,天童温泉篠田介護医療院,テンドウオンセンシノダカイゴイリョウイン,介護医療院,鎌田1-7-1,,38.360368000000000,140.384818800000000,023-653-5711,06B1600014,,,60,https://www.tendo-shinoda.jp/
64017,06B2700011,山形県,小国町,小国町立病院介護医療院,オグニチョウリツビョウインカイゴイリョウイン,介護医療院,山形県西置賜郡小国町大字あけぼの一丁目１番地,,38.058533713903200,139.756075160713000,0238-61-1111,06B2700011,,,,https://www.ogunibyoin.jp/
64262,06B3000015,山形県,三川町,三川病院介護医療院,ミカワビョウインカイゴイリョウイン,介護医療院,山形県東田川郡三川町大字横山字堤３９番三川病院内,三川病院内,38.787386429964300,139.851165787033000,0235-68-0150,06B3000015,,,,https://www.aiyoukai-mikawahp.com/
72028,07B0200013,福島県,会津若松市,介護医療院　さくら,カイゴイリョウイン　サクラ,介護医療院,福島県会津若松市宮町１-１,,37.495177900000000,139.933561800000000,0242-22-4075,07B0200013,,,0,http://www.sakura-anazawa..jp
72036,07B0300029,福島県,郡山市,寿泉堂香久山病院　介護医療院,ジュセンドウカグヤマビョウイン　カイゴイリョウイン,介護医療院,福島県郡山市香久池一丁目18番11号,,37.381706513978900,140.369867855156000,024-932-6368,07B0300029,,,51,http://www.jusendo.or.jp/kgy
72036,07B0300011,福島県,郡山市,土屋病院介護医療院,ツチヤビョウインカイゴイリョウイン,介護医療院,福島県郡山市字山崎76番1,,37.378008300000000,140.367627400000000,024-932-5425,07B0300011,,,0,https://jihankai.jp/
72036,07B0300037,福島県,郡山市,郡山市医療介護病院介護医療院,コオリヤマシイリョウカイゴビョウインカイゴイリョウイン,介護医療院,福島県郡山市字上亀田１番地の１,,37.408525200000000,140.345839100000000,024-934-1240,07B0300037,,,0,http://bigheart-hp.net/
72044,07B0400043,福島県,いわき市,社団医療法人　容雅会　中村病院介護医療院,シャダンイリョウホウジン　ヨウガカイ　ナカムラビョウインカイゴイリョウイン,介護医療院,福島県いわき市小名浜大原字下小滝146-2,,36.961305200000000,140.897269800000000,0246-53-3141,07B0400043,,,,
72044,07B0400035,福島県,いわき市,呉羽総合病院　介護医療院,クレハソウゴウビョウイン　カイゴイリョウイン,介護医療院,福島県いわき市錦町落合1番地1,,36.899914200000000,140.782551700000000,0246-62-8505,07B0400035,,,,
72044,07B0400019,福島県,いわき市,小名浜生協病院　介護医療院,オナハマセイキョウビョウイン　カイゴイリョウイン,介護医療院,福島県いわき市小名浜岡小名字山ノ神３２番地,,36.970533300000000,140.909553300000000,0246-53-4374,07B0400019,,,0,
72044,07B0400027,福島県,いわき市,かしま病院介護医療院,カシマビョウインカイゴイリョウイン,介護医療院,福島県いわき市鹿島町下蔵持字中沢目22-1,,36.992945700000000,140.911182400000000,0246-58-8010,07B0400027,,,0,http://www.kashima.jp
72044,07B0400084,福島県,いわき市,矢吹病院介護医療院,ヤブキビョウインカイゴイリョウイン,介護医療院,福島県いわき市佐糠町東1丁目18-3,,36.917878100000000,140.804798900000000,0246-63-1818,07B0400084,,,,https://yabuki-hp.skr.jp/
72044,07B0400068,福島県,いわき市,春山医院　介護医療院,ハルヤマイイン　カイゴイリョウイン,介護医療院,福島県いわき市常磐下湯長谷町二丁目1番地,,36.990875700000000,140.855846000000000,0246-44-4011,07B0400068,,,15,http://syunyoukai.sakura.ne.jp/
72044,07B0400076,福島県,いわき市,医療法人松尾会松尾病院　介護医療院,イリョウホウジンマツオカイマツオビョウイン　カイゴイリョウイン,介護医療院,福島県いわき市平字新田前2番地の５医療法人松尾会　松尾病院介護医療院,医療法人松尾会　松尾病院介護医療院,37.050321100000000,140.896050100000000,0246-22-4421,07B0400076,,,0,matsuo-iwaki.or.jp
72044,07B0400050,福島県,いわき市,医療法人　双美会　クリニック田畑,イリョウホウジン　フタミカイ　クリニックタバタ,介護医療院,福島県いわき市中岡町3丁目7-3,,36.921430200000000,140.782658300000000,0246-63-1476,07B0400050,,,,
72087,07B0800028,福島県,喜多方市,介護医療院いりさわ,カイゴイリョウインイリサワ,介護医療院,福島県喜多方市字蒔田3106番地の2,,37.655779200000000,139.882291900000000,0241-22-2610,07B0800028,,,0,https://keiwakai.net/
72087,07B0800036,福島県,喜多方市,介護医療院　鳴瀬病院,カイゴイリョウイン　ナルセビョウイン,介護医療院,福島県喜多方市字稲荷宮7307番地の1,,37.646786700000000,139.877019900000000,0241-24-3333,07B0800036,,,0,
72125,07B1200012,福島県,南相馬市,小野田病院介護医療院,オノダビョウインカイゴイリョウイン,介護医療院,福島県南相馬市原町区旭町3-21,,37.636396700000000,140.968942000000000,0244-24-1111,07B1200012,,,0,www.onodahp.or.jp
72141,07B1400018,福島県,本宮市,介護医療院　うぐいすの森,カイゴイリョウイン　ウグイスノモリ,介護医療院,福島県本宮市青田字花掛20番地,,37.502261070655900,140.392996901189000,0243-24-8720,07B1400018,,,,https://www.ochiaikai.jp/
82023,08B0200012,茨城県,日立市,医療法人惇慈会日立港病院介護医療院,イリョウホウジンジュンジカイヒタチコウビョウインカイゴイリョウイン,介護医療院,茨城県日立市みなと町１１番１０号,,36.495476700000000,140.619572800000000,０２９４－５２－３５７６,08B0200012,,,48,http://hitachikoh‐hp.com/
82023,08B0200020,茨城県,日立市,日鉱記念病院　介護医療院,ニッコウキネンビョウイン　カイゴイリョウイン,介護医療院,茨城県日立市宮田町1-4-1,,36.601151864598000,140.649568300000000,0294-24-1212,08B0200020,,,,http://nikko-memorial-hos.or.jp/
82031,08B0300010,茨城県,土浦市,土浦リハビリテーション病院介護医療院,ツチウラリハビリテーションビョウインカイゴイリョウイン,介護医療院,茨城県土浦市真鍋新町11-7,,36.089827400000000,140.209730700000000,029-875-7888,08B0300010,,,0,https://www.central.or.jp/iryoin/
82040,08B0400018,茨城県,古河市,介護医療院はまだクリニック,カイゴイリョウインハマダクリニック,介護医療院,坂間185-11,,0.000000000000000,0.000000000000000,0280-48-7575,08B0400018,,,,http://hama-cl.byoinnavi.jp/pc/
82082,08B0800019,茨城県,龍ヶ崎市,牛尾病院介護医療院,ウシオビョウインカイゴイリョウイン,介護医療院,茨城県龍ケ崎市馴柴町1-15-1,,35.929299600000000,140.147995700000000,0297-66-6333,08B0800019,,,60,http://www.ryujinkai.or.jp/
82121,08B1200011,茨城県,常陸太田市,介護医療院太田病院,カイゴイリョウインオオタビョウイン,介護医療院,茨城県常陸太田市中城町１７３番地,,36.544751800000000,140.521561200000000,0294-72-2580,08B1200011,,,0,
